Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Code
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"initializeDatabaseToolStripMenuItem_Click(object, EventArgs) : void",100,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"licenseInformationToolStripMenuItem_Click(object, EventArgs) : void",89,1,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"myWebsiteRichTextBox_LinkClicked(object, LinkClickedEventArgs) : void",92,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"programInformationToolStripMenuItem_Click(object, EventArgs) : void",89,1,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"settingsToolStripMenuItem_Click(object, EventArgs) : void",89,1,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"showConsoleWindowToolStripMenuItem_Click(object, EventArgs) : void",89,1,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"teamInformationLookupToolStripMenuItem_Click(object, EventArgs) : void",89,1,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"timer_Tick(object, EventArgs) : void",67,3,,5,8
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,License, ,58,5,8,21,40
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,License,Dispose(bool) : void,82,3,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,License,InitializeComponent() : void,45,1,,18,35
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,License,License(),91,1,,1,2
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings, ,46,67,7,60,780
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"allowExportToTextFileCheckBox_CheckedChanged(object, EventArgs) : void",70,3,,4,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"clearConsoleOnToggleCheckBox_CheckedChanged(object, EventArgs) : void",70,3,,4,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"clickEmptyTextBoxChecker_CheckedChanged(object, EventArgs) : void",70,3,,4,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"colourTeamComparisonStatisticsCheckBox_CheckedChanged(object, EventArgs) : void",70,3,,4,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"databaseIPTextBox_MouseClick(object, MouseEventArgs) : void",84,2,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"databaseNameTextBox_MouseClick(object, MouseEventArgs) : void",84,2,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"databasePasswordTextBox_MouseClick(object, MouseEventArgs) : void",84,2,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"databasePortTextBox_MouseClick(object, MouseEventArgs) : void",84,2,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"databaseUsernameTextBox_MouseClick(object, MouseEventArgs) : void",84,2,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,Dispose(bool) : void,82,3,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"exitToolStripMenuItem_Click(object, EventArgs) : void",100,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"howComeICannotConnectToMyDatabaseToolStripMenuItem_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"howDoISaveMySettingsToolStripMenuItem_Click(object, EventArgs) : void",92,1,,2,1
